Sno,District,State,Category,District_level_Infected,Deaths,Total number of Primary Health Centres,Total number of Community Health Centres,Total number of Subdivisional Hospitals,Total number of Divisional Hospitals
426,Anugul,Odisha,Green,19,0,11,9,3,1
427,Kendrapara,Odisha,Yellow,40,0,15,8,1,1
428,Ganjam,Odisha,Green,322,3,65,28,4,1
429,Gajapati,Odisha,Green,4,0,3,8,0,1
430,Mayurbhanj,Odisha,Green,14,0,33,28,3,1
431,Sundargarh,Odisha,Yellow,33,0,31,21,1,2
432,Kendujhar,Odisha,Green,11,0,30,17,2,1
433,Baleshwar,Odisha,Red,126,0,33,17,1,1
434,Jharsuguda,Odisha,Green,5,0,4,6,0,1
435,Bargarh,Odisha,Green,0,0,19,15,1,1
436,Debagarh,Odisha,Green,2,0,1,4,0,1
437,Sambalpur,Odisha,Green,5,0,2,11,2,1
438,Mahasamund,Chhattisgarh,Green,0,0,25,5,0,1
439,Uttar Bastar Kanker,Chhattisgarh,Green,1,0,11,6,0,1
440,Narayanpur,Chhattisgarh,Green,0,0,5,1,0,1
441,Dakshin Bastar Dantewada,Chhattisgarh,Green,0,0,9,3,0,1
442,Bastar,Chhattisgarh,Green,0,0,16,6,0,1
443,Kondagaon,Chhattisgarh,Green,0,0,,,,
444,Gariaband,Chhattisgarh,Green,1,0,,,,
445,Raipur,Chhattisgarh,Red,9,0,40,11,3,1
446,Durg,Chhattisgarh,Green,10,0,24,8,1,1
447,Dhamtari,Chhattisgarh,Green,0,0,13,4,1,1
448,Sukma,Chhattisgarh,Green,0,0,,,,
449,Balod,Chhattisgarh,Green,14,0,,,,
450,Koriya,Chhattisgarh,Green,5,0,26,6,0,1
451,Jashpur,Chhattisgarh,Green,1,0,32,8,2,1
452,Korba,Chhattisgarh,Yellow,29,0,23,7,0,1
453,Kabeerdham,Chhattisgarh,Green,8,0,32,8,1,1
454,Janjgir - Champa,Chhattisgarh,Green,14,0,44,11,1,1
455,Bametara,Chhattisgarh,Green,0,0,,,,
456,Rajnandgaon,Chhattisgarh,Green,10,0,36,10,1,1
457,Surajpur,Chhattisgarh,Green,7,0,,,,
458,Baloda Bazar,Chhattisgarh,Green,11,0,,,,
459,Mungeli,Chhattisgarh,Green,3,0,,,,
460,Surguja,Chhattisgarh,Green,6,0,24,7,1,1
461,Balrampur,Chhattisgarh,Green,0,0,,,,
462,Bijapur,Chhattisgarh,Yellow,0,0,5,5,0,1
